Achats mensuels,Montant des achats
47.923534392812314,52.66034124435688
52.230149052610315,45.704043351068336
46.79806441273849,43.07177347699133
54.31208680859851,49.58212269875476
51.9992780441078,45.65615363676472
47.48526605880077,50.594859680757544
47.66257504301824,45.071934934656355
44.213091104222066,51.61192098955298
41.582329614723676,42.960700641243434
54.74236745458514,45.81600829502293
47.73981311148388,47.41763005954761
49.34854338923026,45.8259755400552
54.79879147418833,53.59272867671227
46.50229963901343,48.60286477571679
58.284647282727526,41.836455906269585
54.81507640381348,49.157704246533314
51.99957320895032,47.35049241919462
57.44736003013533,50.2344858904023
45.08453946322501,54.72754028805756
55.647537276121824,51.297044747451
54.631103241281494,52.501813228086554
52.681378985505596,48.912690606781894
49.40060049248142,50.03550780422653
40.759971401785485,51.60440684525976
50.429344753727406,47.307847749862006
47.403657951942336,52.874532641151404
41.563997011496305,40.49413455912135
46.17428912900014,52.769910011575654
54.06198332516142,53.87537746672203
52.036229489338794,47.95957634549386
46.85774462782229,61.93321647509492
56.52378543447354,51.36697795927538
54.51821837075002,50.14599548101766
54.16137584279662,37.37144096569117
49.11256061393813,46.508503684544074
42.328872650596644,56.94033117966882
50.36380171929792,42.33741461780936
52.22357735522856,46.365713323721856
47.23677553004905,49.639671652553986
47.8820607603665,47.93353906806197
59.816088677331194,63.40550943179795
51.295113086626216,51.04254191388745
46.439835982558876,50.07013901647003
53.83152661021147,46.100137126673786
53.297263970287005,47.33937418241715
50.57131243211664,48.695097708562514
49.095207273045176,49.0360970643703
53.73902994434292,51.92890451637891
48.118947238738855,49.04014311490323
51.287924835294675,51.01533416526847
45.657268191510745,48.48325208583244
47.824176352968735,56.745582149859985
50.745276165019845,48.514802084438976
52.05616352567169,50.84473479366164
54.293889935185824,41.682198043686626
47.42415958900206,43.781002866393266
45.0736132640864,57.722855042217425
51.255196797949225,49.74565998885763
49.092975196910665,51.17316236962523
50.41025991101868,46.23448840423699
63.95114368644757,44.893142346354324
49.933779544920874,50.330393925336715
53.01714567242316,47.48868721802948
49.677621778526685,53.557130490711934
45.05970538966066,56.15448343327011
55.401741681886165,57.52526529124049
52.72993768401624,55.84121435748311
52.233829099410514,50.351571388147114
45.21189840345839,57.38014872579473
51.73755242765921,54.733998294052135
54.49680162399864,46.35877321465526
46.61704795350434,44.49594628949028
44.61424997254679,49.68633262764454
46.2525311656773,44.752097018598676
49.25713644827362,48.78388375379672
59.60870806395643,42.49794513952413
43.66177029536987,44.06938872120179
41.540781537005515,43.09099669356762
45.17299896468741,48.25258079717555
47.843655647815716,52.59608716154191
44.194003988782065,54.17902745411612
51.81899949693069,63.04191159600656
48.523039491333066,57.906495695066184
45.84082454673418,57.315669077040546
53.098012218302344,50.33124029011404
47.99349472112035,56.59095917494474
46.13320476339552,47.272090387305916
41.67350340765822,49.423889200682886
43.2650109879024,55.28671200174805
49.94421794814209,44.03686799090471
49.14632433986915,54.19158541996927
52.72404704133193,55.475151002536776
54.55619244051418,48.78204943871848
50.95790501765431,37.96373333036197
45.90429056078138,45.74976670028802
50.72409332620067,49.71928550296878
